onset time,description
onset time,description
10:19,uinterface
10:22,udetail
10:23,uinterface
10:24,udetail
10:25,uclick out
next pic 44,next pic 44
10:26,pface 1
10:27,pdetail (person 1)
10:27:30,pface 1
10:28,pcaption
10:30,pface 1
10:32,pinterface
10:34,pdetail (person 1)
10:35,pface 1
10:36,pclick out
next pic 45,next pic 45
10:37,udetail (person 1)
10:38,ucaption
10:39,uinterface
10:41,udetail (person 2)
10:42,udetail (person 3)
10:43,uclick out
next pic 46,next pic 46
10:44,pdetail
10:44:30,pdetail
10:45,pdetail
10:46,pcaption
10:47,pdetail
10:48,pdetail
10:49,pcaption
10:53,pinterface
10:54,pdetail
10:55,pdetail
10:56,pdetail
10:57,pinterface
11:04,pclick out
