onset time,description,
7:15,udetail (person 1),
7:15:30,udetail (person 2),
7:16,uinterface,
7:17,udetail (person 2),
7:18,uclick out,
next pic 45,next pic 45,
7:19,pdetail,
7:20,pdetail (person 1),
7:20,pinterface,
7:21,pdetail,
7:22,pinterface,
7:22:30,pdetail,
7:24,pinterface,
7:24:30,pdetail,
7:25,pclick out,
next pic 46,next pic 46,
7:26,uface 1 (dog),
7:26:30,udetail,
7:27,uinterface,
7:28,uface 1 (dog),
7:28:30,udetail,
7:29,udetail,
7:30,uinterface,
7:32,uface 1 (dog),
7:33,uinterface,
7:34,uclick out,
next pic 48,next pic 48,
7:35,pface 1,
7:36,pcaption,
7:44,pface 1,
7:44:30,pface 2,
7:45,pface 3,
7:45:30,pface 5,
7:46,pdetail (person 5),
7:46:30,pface 2,
7:47,pface 1,
7:47:30,pinterface,
7:48,pface 2,
7:48:30,pface 1,
7:49,pdetail (person 1),
7:50,pinterface,
7:50:30,pdetail (person 2),
7:51,pclick out,
next pic 49,next pic 49,
7:52,uface 1,
7:52:30,udetail (person 2),
7:53,ucaption,
8:00,udetail (person 1),
8:01,udetail (person 2),
8:02,udetail (person 1),
8:03,uinterface,
8:03:30,ubackground,
8:04,uinterface,
8:05,uclick out,
next pic 50,next pic 50,
8:06,pface 1,
8:06:30,pdetail (person 1),
8:07,pdetail (person 2),
8:07:30,pdetail (person 1),
8:08,pinterface,
8:09,pface 1,
8:10,pbackgrou d,
8:11:30,pinterface,
8:12,pdetail (person 1),
8:13,pclick out,
next pic 51,next pic 51,
8:14,pface 1,
8:14:30,pdetail (person 2),
8:15,pdetail (person 2),
8:15:30,pface 1,
8:16,pdetail (person 1),
8:16:30,pinterface,
8:18:30,pdetail (person 2),
8:19,pclick out,
next pic 52,next pic 52,
8:20,ubackground,
8:21,ubackground,
8:22,uinterface,
8:23,udetail (person 1),
8:24,uinterface,
8:26,uclick out,
next pic 53,next pic 53,
8:27,uface 1,
8:27:30,uface 2,
8:28,uface 3,
8:28:30,uface 4,
8:29:00,uface 5,
8:29:30,uinterface,
8:30,uface 1,
8:31,uinterface,
8:32,udetail words,
8:32:30,udetail words,
8:33,uclick out,
next pic 54,next pic 54,
8:34,pface 1,
8:35,pface 2,
8:35:30,pface 3,
8:36,pdetail words,
8:37,pface 2,
8:37:30,pdetail words,
8:39,pface 4,
8:39:30,pdetail words,
8:40,pface 3,
8:41,pclick out,
next pic 55,next pic 55,
8:43,udetail,
8:44,udetail,
8:45,udetail,
8:45,udetail,
8:46,udetail,
8:47,uinterface,
8:49,udetail,
8:49:30,udetail,
8:50,uinterface,
8:51,uclick out,
next pic 56,next pic 56,
8:53,udetail (person 1),
8:53:30,udetail,
8:54,udetail (person 2),
8:54:30,ucaption,
9:00,udetail,
9:00:30,ubackground,
9:01,ubackground,
9:02,udetail (person 1),
9:02:30,uinterface,
9:04,udetail (person 1),
9:04:30,uinterface,
9:05,uclick out,
next pic 57,next pic 57,
9:05:30,pface 1,
9:06,pdetail (person 1),
9:06:30,pdetail (person 1),
9:07,pdetail (person 1),
9:08,pdetail,
9:08:30,pbackground,
9:09,pdetail,
9:09:30,pinterface,
9:14,pclick out,
next pic 58,next pic 58,
9:15,uface 1,
9:15,udetail (person 2),
9:16,udetail (person 3),
9:16:30,uface 1,
9:17,uinterface,
9:19,uface 1,
9:19,uclick out,
next pic 59,next pic 59,
9:20,pdetail (person 1),
9:20,pdetail (person 2),
9:20:30,pdetail (person 3),
9:21,pface 3,
9:21:30,pdetail words,
9:22,pdetail,
9:22,pinterface,
9:23:30,pclick out,
next pic 60,next pic 60,
9:25,pdetail,
9:25:30,pface 1,
9:26,pface 2,
9:27,pdetail,
9:27:30,pdetail,
9:28,pdetail,
9:29,pcaption,
9:29:30,pinterface,
9:30,pface 1,
9:31,pinterface,
9:31:30,pclick out,
next pic 61,next pic 61,
9:32,udetail (person 1),
9:32:30,udetail (person 2),
9:33,udetail (person 2),
9:33:30,udetail (person 3),
9:34,udetail (person 1),
9:34:30,uinterface,
9:37,udetail (person 1),
9:38,uclick out,
next pic 62,next pic 62,
9:39,uface 1,
9:39:30,udetail words,
9:40,uinterface,
9:42,uclick out,
next pic 63,next pic 63,
9:43,pdetail,
9:43:30,pdetail,
9:44,pcaption,
9:44:30,pdetail,
9:45,pinterface,
9:45:30,pdetail,
9:46,pdetail,
9:47,pinterface,
9:49,pclick out,
next pic 64,next pic 64,
9:50,pface 1,
9:50:30,pdetail (person 2),
9:51:00,pdetail (person 3),
9:51:30,pface 1,
9:52,pinterface,
9:54,pclick out,
next pic 65,next pic 65,
9:55,udetail (person 1),
9:55:30,uface 1,
9:56,udetail words,
9:57,uface 1,
9:58,uinterface,
9:59,udetail words,
10:00,uinterface,
10:02,uclick out,
next pic 66,next pic 66,
10:03,uface 1 (dog),
10:04,ubackground,
10:04:30,udetail,
10:05,uface 1 (dog),
10:05:30,uinterface,
10:06,uface 2 (dog),
10:07,uface 1 (dog),
10:07:30,uinterface,
10:08,uclick out,
next pic 67,next pic 67,
10:09,pface 1,
10:09:30,pface 2,
10:10,pface 1,
10:10:30,pface 2,
10:11,pinterface,
10:12,pface 1,
10:12:30,pinterface,
10:13,pclick out,
next pic 68,next pic 68,
10:14,uface 1,
10:15,udetail (person 1),
10:15:30,uinterface,
10:16,uface 1,
10:17,uinterface,
10:18,uclick out,
next pic 69,next pic 69,
10:19,pface 1,
10:19:30,pface 2,
10:20,pface 1,
10:20:30,pdetail (person 1),
10:21,pface 2,
10:21,pdetail,
,"
",
10:22,pinterface,
10:22,pface 1,
10:23,pface 2,
10:23:30,pface 1,
10:24,pinterface,
10:24:30,pdetail words,
10:25,pdetail words,
10:25:30,pclick out,
next pic 70,next pic 70,
10:26,pdetail words,
10:26:30,pdetail (person 1),
10:27,pface 2,
10:27:30,pface 3,
10:28,pface 4,
10:28:30,pdetail words,
10:29,pinterface,
10:30,pface 2,
10:30:30,pdetail,
10:31,pinterface,
10:32,pclick out,
next pic 71,next pic 71,
10:33,udetail,
10:33:30,udetail words,
10:34,uinterface,
10:37,uclick out,
next pic 72,next pic 72,
10:38,uface 1,
10:38,udetail (person 1),
10:39,ucaption,
10:42,udetail words,
10:43:30,uface 1,
10:44,uinterface,
10:45:30,uface 1,
10:47,uclick out,
next pic 73,next pic 73,
10:47,pface 1,
10:48,pdetail (person 2),
10:48:30,pface 2,
10:49,pface 3,
10:49:30,pface 1,
10:50,pinterface,
10:51,pclick out,
next pic 74,next pic 74,
10:52,uface 1 (dog),
10:53,uinterface,
10:55:30,uface 1 (dog),
10:57,uclick out,
next pic 75,next pic 75,
10:58,pface 1,
10:59,pdetail,
10:59:30,pdetail,
11:00,pdetail,
11:00:30,pinterface,
11:02,pdetail,
11:02:30,pface 1,
11:05,pclick out,
