seven,pro,face,2:25.0
seven,pro,face,2:26.0
seven,pro,face,2:26.3
seven,pro,face,2:27.0
seven,pro,face,2:27.3
seven,pro,body,2:28.0
seven,pro,face,2:28.3
seven,pro,face,2:29.0
seven,pro,face,2:29.3
eight,ugc,detail,2:30.0
eight,ugc,detail,2:31.0
eight,ugc,caption,2:31.3
eight,ugc,face,2:32.0
eight,ugc,ui,2:33.0
eight,ugc,detail,2:33.3
eight,ugc,face,2:34.0
nine,pro,face,2:38.0
nine,pro,body,2:38.3
nine,pro,caption,2:42.0
nine,pro,face,2:51.0
nine,pro,face,2:51.3
nine,pro,unknown,2:52.0
nine,pro,face,2:53.0
nine,pro,unknown,2:53.3
nine,pro,face,2:54.0
nine,pro,face,2:54.3
nine,pro,face,2:55.0
nine,pro,detail,2:55.3
ten,ugc,caption,2:59.0
ten,ugc,face,3:01.0
ten,ugc,detail,3:01.3
ten,ugc,unknown,3:02.0
ten,ugc,detail,3:02.3
ten,ugc,detail,3:03.0
ten,ugc,detail,3:03.3
ten,ugc,detail,3:04.0
ten,ugc,unknown,3:05.0
ten,ugc,face,3:05.3
ten,ugc,face,3:07.0
ten,ugc,detail,3:07.3
ten,ugc,caption,3:08.0
ten,ugc,unknown,3:10.0
ten,ugc,detail,3:11.0
ten,ugc,unknown,3:12.0
ten,ugc,unknown,3:13.0
ten,ugc,unknown,3:14.0
eleven,pro,body,3:15.0
eleven,ugc,face,3:16.0
eleven,ugc,face,3:16.3
eleven,ugc,detail,3:17.0
eleven,pro,body,3:17.3
eleven,pro,body,3:18.0
eleven,ugc,caption,3:18.3
eleven,ugc,face,3:19.0
eleven,ugc,caption,3:19.3
eleven,ugc,face,3:25.0
eleven,ugc,face,3:25.3
twelve,pro,body,3:26.0
twelve,pro,body,3:26.3
twelve,ugc,face,3:27.0
twelve,ugc,face,3:28.0
twelve,ugc,caption,3:29.0
twelve,ugc,face,3:29.3
twelve,pro,body,3:30.3
twelve,ugc,face,3:31.0
twelve,ugc,face,3:32.0
twelve,ugc,face,3:33.0
twelve,ugc,caption,3:35.0
thirteen,pro,face,3:37.0
thirteen,pro,face,3:38.0
thirteen,pro,caption,3:38.3
thirteen,pro,face,3:39.0
thirteen,pro,caption,3:39.3
thirteen,pro,face,3:41.0
thirteen,pro,body,3:43.0
thirteen,pro,face,3:43.3
thirteen,pro,face,3:45.0
thirteen,pro,body,3:45.0
fourteen,pro,body,3:46.0
fourteen,pro,body,3:47.0
fourteen,pro,face,3:47.3
fourteen,pro,caption,3:48.0
fourteen,pro,body,3:48.3
fourteen,pro,caption,3:49.3
fourteen,pro,body,3:52.0
fourteen,pro,body,3:52.3
fourteen,pro,body,3:54.0
fourteen,pro,detail,3:55.0
fourteen,pro,body,3:55.3
fourteen,pro,caption,3:56.0
fourteen,pro,face,3:58.0
fourteen,pro,face,3:58.3
fourteen,pro,caption,3:59.0
fifteen,pro,body,4:00.0
fifteen,ugc,caption,4:01.0
fifteen,ugc,face,4:02.0
fifteen,ugc,caption,4:02.3
fifteen,ugc,detail,4:03.0
fifteen,pro,body,4:03.3
fifteen,pro,body,4:04.0
fifteen,ugc,face,4:04.3
fifteen,ugc,face,4:05.0
fifteen,ugc,unknown,4:05.3
fifteen,ugc,unknown,4:06.0
fifteen,ugc,unknown,4:06.3
fifteen,ugc,face,4:07.0
xeventeen,ugc,detail,4:15.0
xeventeen,ugc,body,4:15.3
xeventeen,ugc,detail,4:16.0
xeventeen,ugc,face,4:16.3
xeventeen,ugc,caption,4:17.0
xeventeen,ugc,body,4:26.0
xeventeen,ugc,detail,4:26.3
xeventeen,ugc,face,4:27.0
xeventeen,ugc,detail,4:27.3
eighteen,ugc,detail,4:28.0
eighteen,ugc,face,4:29.0
eighteen,ugc,face,4:30.0
eighteen,ugc,caption,4:30.3
eighteen,ugc,face,4:31.0
eighteen,ugc,caption,4:31.3
eighteen,ugc,face,4:33.0
nineteen,pro,face,4:38.0
nineteen,pro,face,4:39.0
nineteen,pro,caption,4:39.3
nineteen,pro,detail,4:40.0
nineteen,pro,caption,4:41.0
nineteen,pro,face,4:47.0
nineteen,pro,caption,4:48.0
twenty,ugc,face,4:52.0
twenty,ugc,detail,4:53.0
twenty,ugc,caption,4:53.3
twenty,ugc,detail,4:55.0
twenty,ugc,face,4:56.0
twenty,ugc,face,4:56.3
twenty,ugc,caption,4:57.0
twenty,ugc,face,4:58.0
twenty,ugc,detail,4:59.0
twentyone,pro,face,5:00.0
twentyone,pro,body,5:02.0
twentyone,pro,face,5:03.0
twentyone,pro,detail,5:03.3
twentyone,pro,face,5:04.0
twentyone,pro,caption,5:04.3
twentyone,pro,face,5:06.0
twentyone,pro,caption,5:06.3
twentyone,pro,face,5:07.0
twentyone,pro,detail,5:07.3
twentyone,pro,face,5:08.0
twentyone,pro,caption,5:08.3
twentyone,pro,face,5:10.0
twentyone,pro,face,5:11.0
twentyone,pro,face,5:11.3
twentyone,pro,caption,5:12.0
twentytwo,ugc,caption,5:13.0
twentytwo,ugc,detail,5:13.3
twentytwo,ugc,face,5:14.0
twentytwo,ugc,caption,5:14.3
twentytwo,ugc,detail,5:20.0
twentytwo,ugc,face,5:21.0
twentytwo,ugc,detail,5:21.3
twentytwo,ugc,face,5:22.0
twentythree,pro,caption,5:25.0
twentythree,pro,detail,5:25.3
twentythree,pro,detail,5:26.0
twentythree,pro,face,5:27.0
twentythree,pro,face,5:27.3
twentythree,pro,detail,5:28.0
twentythree,pro,caption,5:28.3
